topic_id,rank,word,weight
34,5,tensor flow,0.2981492439373403
34,6,using tensorflow,0.2435210641486901
34,7,learn tensorflow,0.24208914979785714
34,8,tensorflow keras,0.2417619499828201
34,9,tensorflow course,0.23942077563522463
34,10,use tensorflow,0.23236325967545612
35,1,explanation,0.2502036133449775
35,2,good examples,0.23280432433978698
35,3,concepts explained,0.23000521150408168
35,4,explanations,0.2262531774309826
35,5,good explanation,0.21899538567139437
35,6,examples,0.21530001166929538
35,7,nice explanation,0.21509302358378657
35,8,examples easy,0.21235412822909305
35,9,topics explained,0.2083766180009244
35,10,examples explained,0.20593708938465005
36,1,psychology,0.4702368540117741
36,2,psychology course,0.289298460794675
36,3,bloom,0.2843191946157355
36,4,course psychology,0.2453131775244536
36,5,field psychology,0.234738001780684
36,6,interested psychology,0.23453163274288574
36,7,professor bloom,0.2308849108034516
36,8,psychology great,0.20101761519493302
36,9,knowledge psychology,0.2009930106062609
36,10,study psychology,0.19792273643970343
37,1,good thank,0.34549348747809194
37,2,great thank,0.3073137688631632
37,3,amazing thank,0.2930063924210485
37,4,excellent thank,0.27620018938698676
37,5,loved thank,0.2723346610840798
37,6,good thanks,0.2686543397134883
37,7,thank thank,0.2585887127320437
37,8,good like,0.25061956811066016
37,9,awesome thank,0.2498726210376722
37,10,love thank,0.2493740722464951
38,1,math,0.29939862675600654
38,2,mathematics,0.2897536141987497
38,3,mathematical,0.27937600571421073
38,4,maths,0.2569286286014456
38,5,devlin,0.22172444752740472
38,6,proofs,0.21996549427026457
38,7,formulas,0.20884829191564114
38,8,equations,0.20355957498648156
38,9,keith,0.1969651595119011
38,10,calculations,0.18540424375301623
39,1,specialization,0.42049995383851935
39,2,course specialization,0.34802907639472414
39,3,courses specialization,0.34800084963392897
39,4,specialization great,0.29839643209700045
39,5,specialization course,0.2690325894719208
39,6,specialisation,0.2610708238740787
39,7,specialization good,0.24399803488516772
39,8,complete specialization,0.2359272758563927
39,9,rest specialization,0.23473463386890947
39,10,introduction specialization,0.22880346436397234
40,1,thank learned,0.38233594985056246
40,2,lot learned,0.37612494099673427
40,3,lot thank,0.374145566051505
40,4,things thank,0.28359207252677776
40,5,things learned,0.2784408568719777
40,6,learned learned,0.276577383666418
40,7,thank learnt,0.2764902338849089
40,8,thanks learned,0.2659508060836
40,9,learned lot,0.2624515576563352
40,10,new things,0.25997113055374194
41,1,project management,0.589089470503871
41,2,project,0.41533571297784083
41,3,management,0.3889639576711227
41,4,project planning,0.3722406949145214
41,5,planning,0.33547626235713
41,6,project manager,0.32962190440416905
41,7,planning management,0.3043264674051906
41,8,initiating,0.2787516843653775
41,9,management great,0.2721703736751143
41,10,project managers,0.26044271992488105
42,1,coding,0.39263483690171497
