topic,n,mean,median
118,552,0.3300908705344794,0.2492146692238748
119,546,0.3295311953056309,0.24775689840316772
120,541,0.06603790437669257,0.00032889842987060547
121,535,0.03630592699677283,0.00017791986465454102
122,534,0.06483318231908748,0.00028336048126220703
123,521,0.1345784881371413,0.0007445216178894043
124,515,0.08453359410315933,0.0005684494972229004
125,512,0.08932998436768003,0.00034046173095703125
126,507,0.41436258791814995,0.4943800331093371
127,504,0.08876626587493414,0.00047653913497924805
128,502,0.14573180930083943,0.0011388659477233887
129,497,0.05120527923287626,0.000287473201751709
130,480,0.03104267853341298,0.00020879507064819336
131,477,0.06877812658981088,0.00020056962966918945
132,476,0.10802376779907763,0.0005075931549072266
133,475,0.0987794033370569,0.0004113316535949707
134,475,0.06976937456087111,0.0004590749740600586
135,472,0.08486390256013877,0.0004475712776184082
136,469,0.3597264412363226,0.24959927797317505
137,462,0.06270685852117215,0.0002669095993041992
138,458,0.18187142712322463,0.0009781718254089355
139,452,0.09650681424128515,0.00046312808990478516
140,451,0.12201396994699415,0.0005341172218322754
141,450,0.032949051277505026,0.0001583695411682129
142,447,0.06481502221449814,0.00019890069961547852
143,436,0.06087167495130048,0.0005919337272644043
144,434,0.06547295433844114,0.00022774934768676758
145,434,0.07372109378953057,0.0003666877746582031
146,427,0.11819945520753274,0.0001837611198425293
147,424,0.10918824036515325,0.000891566276550293
148,423,0.12398841764448193,0.0013284683227539062
149,407,0.01926241797785199,0.0001418590545654297
150,404,0.09463366402676479,0.00023704767227172852
151,401,0.024033594261065237,0.00012362003326416016
152,398,0.33759792222272567,0.24823940062196925
153,383,0.06968043966269893,0.0003333091735839844
154,382,0.13787735271259516,0.0012256205081939697
155,381,0.12720721903082297,0.0003066062927246094
156,378,0.12451942688067137,0.0008736848831176758
157,367,0.040177291642753306,0.00023490190505981445
158,366,0.08486365110109576,0.0003782510757446289
159,361,0.07695131403345026,0.00027114152908325195
160,360,0.09144360523613512,0.0007578730583190918
161,358,0.09997177604074049,0.0006856918334960938
162,356,0.0724881883858431,0.0003885626792907715
163,355,0.17800504011302878,0.0014763474464416504
164,352,0.08173903112277582,0.0004725456237792969
165,352,0.10832282231819011,0.0008658275182824582
166,349,0.06637931479952354,0.0002854466438293457
167,346,0.1534734982389868,0.0005802512168884277
168,344,0.03372203026472477,0.00026810169219970703
169,344,0.08115796168449167,0.0003306269645690918
170,341,0.03891038042807247,0.00015306472778320312
171,340,0.07235557781926165,0.0003485679626464844
172,339,0.07395701192343088,0.0003600120544433594
173,327,0.09401248748725194,0.0004698038101196289
174,322,0.047182179854022954,0.00026726722717285156
175,320,0.08604090553244532,0.00030541419982910156
176,319,0.10079535169898807,0.000496983528137207
177,319,0.010557845006601996,0.0001424551010131836
178,319,0.08093796955362446,0.0004819631576538086
179,317,0.04440211569607604,0.0002792477607727051
180,314,0.1046402090032875,0.0004171133041381836
181,307,0.0756206444389921,0.00031256675720214844
182,307,0.1082985458547361,0.0005959272384643555
183,306,0.07911578418890142,0.0007281303405761719
184,304,0.29917892207671876,0.23702558875083923
185,302,0.02542915930956084,0.00022208690643310547
186,301,0.08550488497422579,0.0003333091735839844
187,297,0.03513779002633761,0.00029712915420532227
188,296,0.07743100890955837,0.0006651878356933594
189,294,0.136087475327116,0.0008807182312011719
190,292,0.13691562164015908,0.0008453502377960831
191,291,0.009015482667198683,0.00018578767776489258
192,289,0.036830908201947475,0.0003514289855957031
193,285,0.07859937719124566,0.00030481815338134766
194,285,0.11737544527175232,0.000971674919128418
195,284,0.39906329601207047,0.24985802173614502
196,284,0.0968628308926295,0.0009123682975769043
197,283,0.2267050409221416,0.24824905395507812
198,282,0.016996098325607625,0.0001386404037475586
199,282,0.12294175417081152,0.0008473992347717285
200,280,0.12633809502809268,0.0008401274681091309
201,279,0.019088337818781536,0.00016176700592041016
202,279,0.05757380038418258,0.0001780390739440918
203,276,0.21260120954953574,0.04092930816113949
204,275,0.08260323131922633,0.000522315502166748
205,275,0.14161609329838856,0.0014137029647827148
206,273,0.15880617811583364,0.0012251734733581543
207,273,0.21865720737070074,0.0138932466506958
208,272,0.06756202276600935,0.0003719329833984375
209,272,0.10334965270393535,0.00017684698104858398
210,271,0.0034583402295834025,0.00014698505401611328
211,271,0.013014367695664128,0.0001805424690246582
212,270,0.33159104878318935,0.24927761201979592
213,268,0.057452388754088014,0.0003044009208679199
214,268,0.02476588345077167,0.0001869797706604004
215,266,0.010472997014683889,0.0001392364501953125
216,266,0.08443655016638611,0.00039374828338623047
217,264,0.061127981411779976,0.00024825334548950195
218,263,0.3579765380174386,0.24974316358566284
219,259,0.14992540899084783,0.0008886367431841791
220,256,0.23294735146868106,0.04074135422706604
221,256,0.08788184780371466,0.0003337264060974121
222,254,0.09706342908291157,0.000569075345993042
223,252,0.06488614581850549,0.00038555264472961426
224,251,0.11398099349666502,0.00022488832473754883
225,248,0.16094672183551725,0.0002866983413696289
226,246,0.09347791006888936,0.0006146132946014404
227,246,0.07469354833621054,0.00022470951080322266
228,245,0.04224488888534584,0.0002924799919128418
229,242,0.12572844153977758,0.0009568631649017334
230,239,0.07425838150035309,0.0003070831298828125
231,236,0.04787295711447753,0.00034624338150024414
232,235,0.04917839675345408,0.00024265050888061523
233,230,0.11355121483641636,0.0005093812942504883
234,230,0.37515970371769863,0.2777715027332306
235,230,0.0699543541657951,0.00034630298614501953
236,224,0.05099815137912499,0.00034481287002563477
237,220,0.0632958281875207,0.00017058849334716797
238,218,0.0701479774209833,0.00017315149307250977
239,218,0.10145032712037583,0.00026917457580566406
240,212,0.021820050962011214,0.00014793872833251953
241,210,0.029156519426032902,0.00017142295837402344
242,208,0.21082097390738525,0.006482541561126709
243,206,0.08175319185660185,0.00027179718017578125
244,205,0.024705370306321306,0.00015997886657714844
245,204,0.015519697514166325,0.00019019842147827148
246,204,0.15132558997905945,0.0014334022998809814
247,204,0.06002142320971424,0.00021529197692871094
248,201,0.10286869151167055,0.0003838539123535156
249,201,0.2503508972009848,0.15641829371452332
