topic_a,topic_b,n_a,n_b,U,p_uncorrected,rank_biserial_r
1,43,7203,1310,4425729.5,0.0003547971440287005,0.0619
1,44,7203,1287,3503440.5,2.275284262307033e-44,0.2442
1,45,7203,1280,1330667.0,0.0,0.7113
1,46,7203,1257,6015664.5,1.8142535287392407e-77,-0.3288
1,47,7203,1216,3427538.5,6.314475925211005e-34,0.2174
1,48,7203,1214,5491897.5,2.319747774449562e-46,-0.2561
1,49,7203,1213,5037753.0,1.2582138693134299e-17,-0.1532
1,50,7203,1197,3990112.0,3.624927210004607e-05,0.0744
1,51,7203,1186,3846347.5,3.806504797764584e-08,0.0995
1,52,7203,1173,6570021.0,7.679195286986102e-205,-0.5552
1,53,7203,1163,3970414.0,0.00431541078307233,0.0521
1,54,7203,1148,3375085.0,1.3694790527213484e-23,0.1837
1,55,7203,1128,4796213.5,1.534437685828134e-22,-0.1806
1,56,7203,1126,3375075.5,1.2414304653382732e-19,0.1677
1,57,7203,1056,3216843.5,5.349169838701704e-16,0.1542
1,58,7203,1049,4990323.5,1.8087247570906245e-63,-0.3209
1,59,7203,1049,5008331.5,2.5876304120182388e-65,-0.3257
1,60,7203,1034,3565741.0,0.026927895923110567,0.0425
1,61,7203,1021,3733740.0,0.4252670481880798,-0.0154
1,62,7203,1005,3341234.5,7.67401698081485e-05,0.0769
1,63,7203,1000,4215302.0,2.194932950056787e-18,-0.1704
1,64,7203,995,3616199.5,0.6402234796046755,-0.0091
1,65,7203,964,2728342.0,2.9276506627182036e-27,0.2142
1,66,7203,963,3076315.5,1.168761361838903e-08,0.113
1,67,7203,950,4506434.0,5.246346266093422e-57,-0.3171
1,68,7203,943,1745944.5,1.887391895841274e-130,0.4859
1,69,7203,933,2245804.5,3.202549285570976e-61,0.3316
1,70,7203,927,3411857.5,0.27604368323012407,-0.0219
1,71,7203,923,2864305.0,7.207160756180844e-12,0.1383
1,72,7203,911,3918942.5,9.97978164853372e-22,-0.1944
1,73,7203,911,3425396.0,0.03014895611993344,-0.044
1,74,7203,909,2253616.0,4.610112471993117e-53,0.3116
1,75,7203,908,4530812.0,3.703082208560575e-80,-0.3855
1,76,7203,876,3828323.0,5.086853223903161e-25,-0.2134
1,77,7203,853,3234812.0,0.011288312449258065,-0.053
1,78,7203,836,2356526.0,6.941407612309099e-25,0.2173
1,79,7203,835,2312424.5,6.923021607980164e-28,0.2311
1,80,7203,829,3946822.0,3.3917844184221146e-52,-0.3219
1,81,7203,819,3027408.5,0.21553839926630203,-0.0264
1,82,7203,805,2185179.5,1.7040173858281945e-30,0.2463
1,83,7203,803,952739.0,6.44645538466175e-214,0.6706
1,84,7203,803,3060220.0,0.006774431931212792,-0.0582
