topic_id,n,mean,median,median_ci_lo,median_ci_hi,std
153,383,0.06968043966269893,0.0003333091735839844,0.00026722252368927,0.0004330277442932129,0.16489354040785614
90,719,0.07875052967701954,0.0003325939178466797,0.0003008842468261719,0.00038361549377441406,0.19522525989702574
169,344,0.08115796168449167,0.0003306269645690918,0.00029187947511672975,0.00039446651935577394,0.17296933215310503
100,655,0.06485342779667792,0.00032913684844970703,0.0002772212028503418,0.0003708869218826294,0.1893430763994431
120,541,0.06603790437669257,0.00032889842987060547,0.000270417332649231,0.0003723829984664916,0.17012580750008954
70,927,0.08174909703766811,0.0003275871276855469,0.00028640031814575195,0.0003783702850341797,0.1875729554835252
96,685,0.1431235779130561,0.00032699108123779297,0.00023943185806274414,0.0005314111709594724,0.21362198323305523
81,819,0.08427639125058994,0.00031936168670654297,0.00027033218066208065,0.00040453672409057617,0.18848112691471422
181,307,0.0756206444389921,0.00031256675720214844,0.00024443864822387695,0.00038235038518905627,0.1828383535702105
230,239,0.07425838150035309,0.0003070831298828125,0.00023597478866577148,0.0003714561462402344,0.17745376893644954
155,381,0.12720721903082297,0.0003066062927246094,0.00025707483291625977,0.00042307904514018443,0.2078468291766947
33,1491,0.07192730998167066,0.00030612945556640625,0.00028198957443237305,0.00033986568450927734,0.1877636942282087
175,320,0.08604090553244532,0.00030541419982910156,0.00026195645332336424,0.0003578782081604003,0.19095451422828133
193,285,0.07859937719124566,0.00030481815338134766,0.00025719404220581055,0.00038504600524902344,0.192922934600697
73,911,0.05907797557432803,0.0003046989440917969,0.00028651952743530273,0.00034999847412109375,0.16178109042397684
213,268,0.057452388754088014,0.0003044009208679199,0.0002709031105041504,0.0003613844513893127,0.167081929915812
14,2959,0.05615140775888181,0.0003000497817993164,0.00028779804706573485,0.0003160238265991211,0.17449845126458824
187,297,0.03513779002633761,0.00029712915420532227,0.00026553869247436523,0.0003273487091064453,0.13861701371126275
228,245,0.04224488888534584,0.0002924799919128418,0.0002567172050476074,0.0003733634948730469,0.1581346642015502
84,803,0.06843609045835425,0.000291287899017334,0.0002555251121520996,0.00034165382385253906,0.16814254861551303
77,853,0.0830860708873526,0.0002899765968322754,0.0002581477165222168,0.0003279447555541992,0.17567855944578958
108,610,0.07126797818362648,0.0002899169921875,0.000250399112701416,0.00032007694244384766,0.18378807223879137
129,497,0.05120527923287626,0.000287473201751709,0.00026220083236694336,0.00032532215118408203,0.13548421049171852
225,248,0.16094672183551725,0.0002866983413696289,0.00022917985916137695,0.00048812329769134513,0.26991414220095594
6,4390,0.07563167558049856,0.00028628110885620117,0.0002731153610511683,0.0003045201301574707,0.18743350764146563
166,349,0.06637931479952354,0.0002854466438293457,0.00024276971817016602,0.0003545284271240231,0.16528253883982486
117,566,0.07033758294581874,0.0002842545509338379,0.0002568930387496948,0.0003497004508972168,0.15645103111410016
122,534,0.06483318231908748,0.00028336048126220703,0.0002515256404876709,0.0003398150205612182,0.17272396397878562
104,626,0.0557243582224823,0.00028121471405029297,0.00025779008865356445,0.0003232374787330627,0.1732733956172135
179,317,0.04440211569607604,0.0002792477607727051,0.0002478957176208496,0.00032210350036621094,0.15435827129035343
243,206,0.08175319185660185,0.00027179718017578125,0.00021857023239135742,0.0003535747528076172,0.18874452300791716
159,361,0.07695131403345026,0.00027114152908325195,0.00022858381271362305,0.0003485679626464844,0.17829903597000377
239,218,0.10145032712037583,0.00026917457580566406,0.00022274255752563477,0.0004678964614868164,0.20890850761344135
168,344,0.03372203026472477,0.00026810169219970703,0.00023096799850463867,0.0003068506717681885,0.11964556524422341
23,2059,0.05551672047471122,0.00026792287826538086,0.0002531379461288452,0.0002882033586502075,0.1593107529291196
174,322,0.047182179854022954,0.00026726722717285156,0.0002309441566467285,0.00032913684844970703,0.16827669488229502
137,462,0.06270685852117215,0.0002669095993041992,0.00023207366466522218,0.00031769275665283203,0.16899428882725057
36,1390,0.050883387713990404,0.0002582073211669922,0.00023996829986572266,0.0002754330635070801,0.15022438573302754
217,264,0.061127981411779976,0.00024825334548950195,0.00022101402282714844,0.0002771049737930298,0.19299316018799523
232,235,0.04917839675345408,0.00024265050888061523,0.00020164251327514648,0.00031697750091552734,0.1296781555753762
150,404,0.09463366402676479,0.00023704767227172852,0.00020944923162460327,0.00026506781578063967,0.20349918936983055
157,367,0.040177291642753306,0.00023490190505981445,0.0002116560935974121,0.00028842687606811523,0.14016664902220752
55,1128,0.05442884402736713,0.0002340078353881836,0.00021666288375854492,0.00025696456432342527,0.16080110075342655
49,1213,0.07961627149824203,0.00023239850997924805,0.00021654367446899414,0.00025194883346557617,0.18854508935893158
63,1000,0.046349792009801605,0.00023162364959716797,0.00021964311599731445,0.0002527952194213867,0.15178614216604927
144,434,0.06547295433844114,0.00022774934768676758,0.00020056962966918945,0.00025850534439086914,0.17365468316385635
224,251,0.11398099349666502,0.00022488832473754883,0.00017577409744262695,0.0002676844596862793,0.217058790976008
227,246,0.07469354833621054,0.00022470951080322266,0.00020241737365722656,0.0002685621380805969,0.1785018667047067
99,662,0.05851600250638803,0.00022226572036743164,0.00020664036273956298,0.0002445295453071594,0.1670407895054837
185,302,0.02542915930956084,0.00022208690643310547,0.00020712614059448242,0.0002562433481216431,0.10918461441991133
25,1979,0.03452895923740063,0.00022011995315551758,0.0002098679542541504,0.0002333521842956543,0.13888267083569011
72,911,0.05746135383476153,0.00021535158157348633,0.00019937753677368164,0.0002490907907485962,0.16281618547234636
247,204,0.06002142320971424,0.00021529197692871094,0.00019103288650512695,0.0002524256706237793,0.18509463444930946
130,480,0.03104267853341298,0.00020879507064819336,0.00019627809524536133,0.00022929906845092773,0.13563753671769818
76,876,0.06491892606322108,0.00020271539688110352,0.00018864870071411133,0.0002173781394958496,0.16728433260914993
131,477,0.06877812658981088,0.00020056962966918945,0.0001837611198425293,0.00021821260452270508,0.16946747235959933
10,3952,0.04650744889377423,0.0002003312110900879,0.00019478648900985717,0.0002062976360321045,0.15272814304979115
48,1214,0.047332216251371184,0.00019997358322143555,0.0001900792121887207,0.00021761655807495117,0.13772680227438883
142,447,0.06481502221449814,0.00019890069961547852,0.00018793344497680664,0.00021523237228393555,0.17668971944143075
28,1810,0.03725484765692066,0.00019365549087524414,0.00018649995326995849,0.00020128488540649414,0.1451154885754389
245,204,0.015519697514166325,0.00019019842147827148,0.00017308369278907777,0.0002173379063606262,0.09199353326062118
114,581,0.031065254354728834,0.0001888871192932129,0.0001774430274963379,0.00021523237228393555,0.11343596672132805
214,268,0.02476588345077167,0.0001869797706604004,0.00016999244689941406,0.0002152368426322937,0.09054339480356252
191,291,0.009015482667198683,0.00018578767776489258,0.00017899274826049805,0.0001913905143737793,0.07302374231135515
