Level,Display,Label,N,Pct,Micros
Meso,Meso 17,course content and teaching praise,6923,1.89,"T174 (0.28%), T175 (0.27%), T176 (0.25%), T177 (0.18%), T178 (0.14%), T179 (0.13%), T180 (0.13%), T181 (0.12%), T182 (0.10%), T183 (0.08%), T184 (0.08%), T185 (0.06%), T186 (0.06%)"
Meso,Meso 18,psychology course and instructor praise,4960,1.36,"T187 (0.54%), T188 (0.38%), T189 (0.18%), T190 (0.12%), T191 (0.08%), T192 (0.06%)"
Meso,Meso 19,science and health course praise,4356,1.19,"T193 (0.32%), T194 (0.32%), T195 (0.12%), T196 (0.10%), T197 (0.09%), T198 (0.09%), T199 (0.08%), T200 (0.07%)"
Meso,Meso 20,course content and instructor praise,2298,0.63,"T201 (0.17%), T202 (0.17%), T203 (0.09%), T204 (0.07%), T205 (0.06%), T206 (0.06%)"
Meso,Meso 21,energy and sustainability course praise,1686,0.46,"T207 (0.15%), T208 (0.12%), T209 (0.10%), T210 (0.09%)"
Macro,Macro 5,course quality and effectiveness,16184,4.43,
Meso,Meso 22,course content and effectiveness praise,10787,2.95,"T211 (0.36%), T212 (0.36%), T213 (0.22%), T214 (0.21%), T215 (0.19%), T216 (0.17%), T217 (0.15%), T218 (0.14%), T219 (0.14%), T220 (0.12%), T221 (0.10%), T222 (0.10%), T223 (0.10%), T224 (0.09%), T225 (0.08%), T226 (0.08%), T227 (0.08%), T228 (0.08%), T229 (0.08%), T230 (0.06%), T231 (0.06%)"
Meso,Meso 23,business and finance course praise,5397,1.48,"T232 (0.59%), T233 (0.21%), T234 (0.17%), T235 (0.14%), T236 (0.13%), T237 (0.08%), T238 (0.08%), T239 (0.08%)"
Macro,Macro 6,course content and experience feedback,8320,2.28,
Meso,Meso 24,course content and quality feedback,5119,1.4,"T240 (0.41%), T241 (0.29%), T242 (0.29%), T243 (0.25%), T244 (0.12%), T245 (0.05%)"
Meso,Meso 25,overall course experience feedback,3201,0.88,"T246 (0.26%), T247 (0.22%), T248 (0.17%), T249 (0.16%), T250 (0.07%)"
Macro,—,Unassigned (HDBSCAN outlier; excluded from clustered hierarchy),129703,35.47,
